name,amount
-85.7536,1
-85.8599,3
EMPTY,9
-85.6573,3
-85.4904,5
-85.7665,3
-85.6004,2
-85.8,7
-85.7263,1
-85.6274,1
-85.7841,121
-85.6833,3
-85.5535,1
-85.6132,4
-85.7867,3
-85.6822,24
-85.5917,4
-85.7204,4
-85.8314,4
-85.8118,2
-85.739,1
-85.7762,2
-85.7025,2
-85.6698,11
