name,amount
HAWK - COOPERS,1
PIGEON - ROCK,1
PIGEON - RACING,1
BANTAM - PEKING,1
CHICKEN - ARAUCANA,3
HAWK - RED-TAILED,1
ORPINGTON - MIX,2
DUCK - BLACK,4
GOOSE - CANADA,3
DUCK - MALLARD,10
HAWK - RED-SHOULDERED,2
AFRICAN - AFRICAN GRAY,1
EMPTY,191
